Beer,Ratings,Avg,ABV%
CBS (Canadian Breakfast Stout),6762,4.64,11.30%
KBS,14141,4.6,12.00%
Fourth Dementia - Bourbon Barrel-Aged,2052,4.55,13.50%
Black Note Stout,4954,4.54,11.20%
Plead The 5th - Bourbon Barrel-Aged,3371,4.52,11.00%
Breakfast Stout,17925,4.51,8.30%
Canuckley,209,4.53,14.50%
KBS - Maple Mackinac Fudge,925,4.5,11.00%
No Rules,1412,4.49,15.00%
Expedition Stout - Bourbon Barrel-Aged,804,4.47,13.40%
Solstice Stout,153,4.5,16.00%
Kentuckley,255,4.48,14.50%
Barrel-Aged Black Biscuit,282,4.47,11.10%
Hopslam Ale,14011,4.45,10.00%
Rye Hipster Brunch Stout,493,4.46,11.00%
Blueberry Eisbock,149,4.46,15.50%
Bourbon Barrel-Aged Barley Wine,791,4.42,14.50%
KBS - Espresso,772,4.42,12.00%
Bring the Ruckley,57,4.5,14.50%
Soursmith Black Raspberry,74,4.46,5.10%
M-43,1295,4.39,6.80%
Black Note - Vanilla,125,4.42,11.50%
Raspberry Eisbock,1333,4.38,15.50%
DRIPA (Double Rice IPA),1051,4.38,9.50%
Buckley Reserve #2,39,4.49,15.00%
Buckley Reserve #1,32,4.51,14.50%
Imperial Stout,8070,4.36,10.50%
Cinna-Gram on French Toast,45,4.46,11.00%
Hipster Brunch Stout,891,4.36,11.00%
Boss Tweed,765,4.36,9.30%
Hazel's Nuts,561,4.36,11.00%
Backwoods Bastard,8912,4.35,11.20%
Underground Mountain Brown,738,4.35,11.90%
Buckley,293,4.35,14.00%
Night Fury - Bourbon Barrel-Aged Traxxx,211,4.34,13.80%
The Juice Is Loose,305,4.33,8.00%
KBS - Hazelnut,266,4.32,12.00%
Double Dry Hopped M-43,69,4.36,7.20%
Raspberry Wild One,200,4.32,6.50%
Plead The 5th Imperial Stout,4112,4.3,11.00%
Curmudgeon's Better Half,1833,4.3,12.70%
Prince Of Barkness,32,4.41,14.50%
Fourth Dementia (4D),1089,4.29,13.50%
Sumatra Mountain Brown,1778,4.28,9.00%
Night Fury - Bourbon Barrel-Aged Vanilla Bean Reserve,146,4.3,13.50%
Two Hearted IPA,15788,4.27,7.00%
Hop Grandslam,28,4.4,10.50%
Obligatory,96,4.3,6.50%
Delusion,363,4.27,11.70%
Expedition Stout,6614,4.26,10.50%
Night Fury - Bourbon Barrel-Aged Chocolate Covered Espresso,72,4.31,13.80%
Palatable,14,4.52,15.00%
Dragon's Milk Reserve - Coconut Rum Barrel,245,4.27,11.00%
Hipster Brunch Stout - Double Oaked,28,4.38,10.00%
Porter,8030,4.25,6.50%
Harvest Ale,4713,4.25,7.60%
Bark Lord,102,4.28,13.50%
Barrel Aged No Cake,24,4.39,12.00%
Wake N Cake,21,4.41,13.50%
Crumple,25,4.38,8.00%
Malted Milk Ball Imperial Porter,172,4.26,12.00%
Dragon's Milk Reserve - Triple-Mashed,323,4.25,17.30%
Dragon's Milk Reserve - S'mores - Bourbon Barrel-Aged,261,4.25,11.00%
Bourbon Barrel Aged Imperial Mayan Mocha,541,4.24,13.00%
Magic Trait - Blackberries & Black Currants,27,4.36,7.60%
Hopeful Monster,31,4.34,7.60%
Same Same Different,54,4.29,6.70%
Love Shadow,109,4.25,11.70%
Plead The 5th - BourbRum Double Barrel Aged,250,4.23,12.00%
Imperial Neapolitan Milk Stout - Bourbon Barrel-Aged,93,4.25,10.50%
Quarantuckley,15,4.43,13.50%
Mind To Devour,116,4.24,8.35%
French Toast Bastard,305,4.22,11.10%
Double Dramanatrix,28,4.32,15.00%
Bourbon Barrel-Aged Chocolate Expedition Stout,12,4.47,13.40%
The Pursuit,17,4.39,8.50%
Deleterious,46,4.27,14.60%
KBS - Chocolate Cherry,163,4.22,11.60%
Double Trouble,6681,4.2,9.40%
M-43 - Tart Strawberry,189,4.21,6.80%
Junie - Double Barrel,17,4.37,13.00%
Citra Evolution,39,4.27,6.75%
Flying Buffalo - Bourbon Barrel-Aged,79,4.23,12.00%
Rainbows & Waterfalls,42,4.26,8.00%
Cromulent,140,4.21,6.00%
Cart Horse,248,4.2,7.00%
Project PAM,1064,4.19,10.80%
Side Yard Ale,40,4.26,6.80%
Night Fury - Rye Whiskey Barrel-Aged,18,4.35,13.50%
Soursmith Kriek,30,4.28,9.70%
KBS - Cinnamon Vanilla Cocoa,359,4.19,12.00%
Hopstache,351,4.19,6.80%
Mothership Series #2,156,4.2,10.80%
Wizard Burial Ground,324,4.19,10.00%
Catch These Paws,12,4.42,13.00%
Red's Rye IPA,5328,4.18,6.60%
BushWacker Night Fury,22,4.31,N/A
Full Earth,137,4.2,9.10%
Blushing Monk,2603,4.18,9.20%
Sin Eater,85,4.21,11.00%
,,,
